TicketID,TradeID,Trader,Account,Branch,route,bkrsym,rrno,B/S,SHORT,Market,symb,qty,price,commission,RouteFee,time
57605,83788,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,AMD,12,92.96,1,0,01/25/21 12:14:28
56798,82545,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,33,93.512,1,0,01/25/21 12:05:40
56537,82206,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,15,93.4911,1,0,01/25/21 12:02:04
56417,82043,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,19,93.43,1,0,01/25/21 12:00:59
56201,81725,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,26,93.28,1,0,01/25/21 11:58:16
55943,81362,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,AMD,105,93.08,1,0,01/25/21 11:54:17
54552,79372,IBXXXX1,UXXXXX1,BBT,SMRT,DRCT,,S,N,Mkt,PLTR,13,34.44,1,0,01/25/21 11:39:17
54475,79235,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,4,35.47,1,0,01/25/21 11:38:34
54430,79156,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,5,35.14,1,0,01/25/21 11:38:11
54327,79006,IBXXXX1,UXXXXX1,BBT,SMRT,DRCT,,B,N,Mkt,PLTR,15,34.96,1,0,01/25/21 11:37:10
54143,78758,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,21,34.6,1,0,01/25/21 11:35:07
53855,78366,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,9,34.63,1,0,01/25/21 11:32:47
53681,78130,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Mkt,PLTR,20,34.36,1,0,01/25/21 11:31:36
53379,77700,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,PLTR,17,33.48,1,0,01/25/21 11:29:25
52963,77080,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,PLTR,28,33.68,1,0,01/25/21 11:26:35
51973,75576,IBXXXX1,UXXXXX1,BBT,SMRT,DRCT,,B,N,Mkt,PLTR,14,34.1,1,0,01/25/21 11:19:44
51163,74430,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,PLTR,14,33.83,1,0,01/25/21 11:15:49
42986,62246,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,PLTR,30,37,1,0,01/25/21 10:47:54
42967,62222,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,BB,27,20.1,1,0,01/25/21 10:47:52
42696,61864,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,9,37.55,1,0,01/25/21 10:47:07
41885,60908,IBXXXX1,UXXXXX1,BBT,SMRT,DRCT,,B,N,Mkt,PLTR,15,37.55,1,0,01/25/21 10:46:33
40733,59316,IBXXXX1,UXXXXX1,BBT,SMRT,ARCA,,S,N,Lmt,PLTR,7,37.21,1,0,01/25/21 10:42:49
40301,58654,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,10,36.92,1,0,01/25/21 10:41:16
39884,58079,IBXXXX1,UXXXXX1,BBT,SMRT,NYSE,,S,N,Lmt,BB,12,20.76,1,0,01/25/21 10:39:50
39157,57144,IBXXXX1,UXXXXX1,BBT,SMRT,DRCT,,S,N,Lmt,PLTR,13,37.35,1,0,01/25/21 10:38:02
38825,56675,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,BB,13,20.625,1,0,01/25/21 10:37:08
38674,56391,IBXXXX1,UXXXXX1,BBT,SMRT,NYSE,,S,N,Lmt,PLTR,15,37.06,1,0,01/25/21 10:36:52
38315,55862,IBXXXX1,UXXXXX1,BBT,SMRT,ISLA,,B,N,Lmt,PLTR,35,36.81,1,0,01/25/21 10:35:45
