Account Statement for 00000001 () since 1/21/21 through 1/21/21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cash Balance,,,,,,,,,,,,,
DATE,TIME,TYPE,DESCRIPTION,Commissions & Fees,AMOUNT,BALANCE,,,,,,,
1/21/2021,9:38:07,TRD,BOT +10 FUBO @32.98,,-329.8,"29,730.87",,,,,,,
1/21/2021,9:42:25,TRD,SOLD -10 FUBO @31.766,,317.66,"30,048.52",,,,,,,
1/21/2021,9:53:28,TRD,BOT +10 FUBO @33.465,,-334.65,"29,713.87",,,,,,,
1/21/2021,9:56:53,TRD,SOLD -10 FUBO @33.00,,330,"30,043.86",,,,,,,
1/21/2021,9:58:17,TRD,BOT +2 AAPL @134.87,,-269.74,"29,774.12",,,,,,,
1/21/2021,9:58:27,TRD,BOT +2 AAPL @135.00,,-270,"29,504.12",,,,,,,
1/21/2021,9:58:27,TRD,BOT +1 AAPL @135.00,,-135,"29,369.12",,,,,,,
1/21/2021,9:58:27,TRD,BOT +4 AAPL @135.00,,-540,"28,829.12",,,,,,,
1/21/2021,9:58:27,TRD,BOT +1 AAPL @135.00,,-135,"28,694.12",,,,,,,
1/21/2021,10:03:20,TRD,SOLD -2 AAPL @135.125,,270.25,"28,964.36",,,,,,,
1/21/2021,10:03:49,TRD,SOLD -2 AAPL @135.14,,270.28,"29,234.63",,,,,,,
1/21/2021,10:04:03,TRD,SOLD -2 AAPL @135.11,,270.22,"29,504.84",,,,,,,
1/21/2021,10:06:02,TRD,SOLD -4 AAPL @134.97,,539.88,"30,044.71",,,,,,,
1/21/2021,10:08:07,TRD,BOT +10 FB @271.37,,"-2,713.70","27,331.01",,,,,,,
1/21/2021,10:08:16,TRD,SOLD -10 FB @271.444,,"2,714.45","30,045.40",,,,,,,
1/21/2021,10:08:39,TRD,BOT +10 FB @271.388,,"-2,713.88","27,331.52",,,,,,,
1/21/2021,10:08:50,TRD,SOLD -2 FB @271.505,,543.01,"27,874.52",,,,,,,
1/21/2021,10:09:01,TRD,SOLD -2 FB @271.51,,543.02,"28,417.53",,,,,,,
1/21/2021,10:10:26,TRD,SOLD -2 FB @271.505,,543.01,"28,960.53",,,,,,,
1/21/2021,10:11:31,TRD,SOLD -2 FB @271.705,,543.41,"29,503.93",,,,,,,
1/21/2021,10:12:15,TRD,SOLD -1 FB @272.09,,272.09,"29,776.01",,,,,,,
1/21/2021,10:16:19,TRD,SOLD -1 FB @271.37,,271.37,"30,047.37",,,,,,,
1/21/2021,10:16:45,TRD,BOT +10 AAPL @135.708,,"-1,357.08","28,690.29",,,,,,,
1/21/2021,10:17:18,TRD,SOLD -2 AAPL @135.76,,271.52,"28,961.80",,,,,,,
